,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_layers,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
69,1.0577368140220642,0.02246932519169298,0.13928687572479248,0.01876442200745501,150,"(8.0, 8.0)","{'batch_size': 150, 'layers': (8.0, 8.0)}",0.8033333420753479,0.7716666460037231,0.7799999713897705,0.7950000166893005,0.7874999940395355,0.012388406874375573,39
20,1.0038307309150696,0.02917397091897573,0.09026521444320679,0.0019929150710703324,50,"(32.0,)","{'batch_size': 50, 'layers': (32.0,)}",0.8166666626930237,0.753333330154419,0.7816666960716248,0.8016666769981384,0.7883333414793015,0.02371708182297857,38
45,1.2042586207389832,0.03225440859529866,0.13451635837554932,0.010981928155317622,100,"(2.0, 4.0)","{'batch_size': 100, 'layers': (2.0, 4.0)}",0.8083333373069763,0.778333306312561,0.7666666507720947,0.8066666722297668,0.7899999916553497,0.017989206123488942,37
73,0.6741736531257629,0.08776656968834834,0.08541512489318848,0.0030288888652308375,150,"(16.0, 8.0)","{'batch_size': 150, 'layers': (16.0, 8.0)}",0.8066666722297668,0.7883333563804626,0.7733333110809326,0.7916666865348816,0.7900000065565109,0.011843901676594722,36
70,1.053472876548767,0.03079168646884453,0.1251121163368225,0.003326162175146775,150,"(32.0, 16.0)","{'batch_size': 150, 'layers': (32.0, 16.0)}",0.8083333373069763,0.7900000214576721,0.7749999761581421,0.7883333563804626,0.7904166728258133,0.01186586709903237,35
35,1.1064419746398926,0.04489943312263974,0.1082342267036438,0.016536946751501042,50,"(16.0, 16.0)","{'batch_size': 50, 'layers': (16.0, 16.0)}",0.7983333468437195,0.7816666960716248,0.7850000262260437,0.7983333468437195,0.7908333539962769,0.007592020742298152,34
60,0.6741358041763306,0.10556585693746057,0.09012943506240845,0.0021055324315512156,150,"(32.0,)","{'batch_size': 150, 'layers': (32.0,)}",0.800000011920929,0.7583333253860474,0.8016666769981384,0.8050000071525574,0.791250005364418,0.0190895261376235,31
11,2.0033279061317444,0.0785272752629207,0.14972424507141113,0.08238812790446251,20,"(32.0, 32.0)","{'batch_size': 20, 'layers': (32.0, 32.0)}",0.7933333516120911,0.753333330154419,0.7883333563804626,0.8299999833106995,0.791250005364418,0.027166533744209794,31
23,1.0791336297988892,0.02326176191782133,0.10045051574707031,0.001591081863801881,50,"(8.0, 4.0)","{'batch_size': 50, 'layers': (8.0, 4.0)}",0.7683333158493042,0.7866666913032532,0.7933333516120911,0.8166666626930237,0.791250005364418,0.017295434567125338,31
34,1.0962718725204468,0.036151921417056615,0.14414405822753906,0.08331836477848839,50,"(8.0, 16.0)","{'batch_size': 50, 'layers': (8.0, 16.0)}",0.8050000071525574,0.7716666460037231,0.800000011920929,0.7900000214576721,0.7916666716337204,0.012747560005841919,29
32,1.3879162073135376,0.27358278989482054,0.10304731130599976,0.009858873305475071,50,"(16.0, 32.0)","{'batch_size': 50, 'layers': (16.0, 32.0)}",0.8016666769981384,0.7699999809265137,0.7883333563804626,0.8066666722297668,0.7916666716337204,0.01419116452188775,29
53,0.7365148663520813,0.007875830209506156,0.09475427865982056,0.0059762125410979736,100,"(16.0, 8.0)","{'batch_size': 100, 'layers': (16.0, 8.0)}",0.7983333468437195,0.7599999904632568,0.7850000262260437,0.824999988079071,0.7920833379030228,0.023463178374983063,28
49,1.2690744996070862,0.11145478837078308,0.13750511407852173,0.010226556378405846,100,"(8.0, 8.0)","{'batch_size': 100, 'layers': (8.0, 8.0)}",0.8100000023841858,0.7483333349227905,0.800000011920929,0.8133333325386047,0.7929166704416275,0.026203663169199084,26
50,0.9596027731895447,0.14505898871866652,0.10378313064575195,0.012275072345231071,100,"(32.0, 16.0)","{'batch_size': 100, 'layers': (32.0, 16.0)}",0.8083333373069763,0.7716666460037231,0.7866666913032532,0.8050000071525574,0.7929166704416275,0.014784336484506977,26
15,1.9005689024925232,0.02080380629552872,0.10642087459564209,0.006049232614782946,20,"(16.0, 16.0)","{'batch_size': 20, 'layers': (16.0, 16.0)}",0.778333306312561,0.7883333563804626,0.800000011920929,0.8066666722297668,0.7933333367109299,0.010865347551626504,25
33,1.046955645084381,0.012431852000828159,0.09288150072097778,0.0012843890708282098,50,"(16.0, 8.0)","{'batch_size': 50, 'layers': (16.0, 8.0)}",0.7916666865348816,0.7816666960716248,0.7833333611488342,0.8166666626930237,0.7933333516120911,0.013994033007359631,24
65,0.8914221525192261,0.07667871571654424,0.18074381351470947,0.10173445325922438,150,"(2.0, 4.0)","{'batch_size': 150, 'layers': (2.0, 4.0)}",0.8199999928474426,0.7766666412353516,0.7833333611488342,0.7950000166893005,0.7937500029802322,0.01651493398300149,23
52,0.7857150435447693,0.09565713850641698,0.0859222412109375,0.0020493149313234272,100,"(16.0, 32.0)","{'batch_size': 100, 'layers': (16.0, 32.0)}",0.8083333373069763,0.7566666603088379,0.7983333468437195,0.8133333325386047,0.7941666692495346,0.02231405016022721,22
3,1.7965987920761108,0.026199078123380782,0.09728825092315674,0.0015138603961840562,20,"(8.0, 4.0)","{'batch_size': 20, 'layers': (8.0, 4.0)}",0.8033333420753479,0.7866666913032532,0.7933333516120911,0.7933333516120911,0.7941666841506958,0.005951184681621646,21
25,1.0651647448539734,0.035663246298313266,0.09932959079742432,0.006286172764619885,50,"(2.0, 4.0)","{'batch_size': 50, 'layers': (2.0, 4.0)}",0.7933333516120911,0.7749999761581421,0.8149999976158142,0.7950000166893005,0.794583335518837,0.014160544993018501,18
75,0.6328563094139099,0.008511683209079362,0.0862739086151123,0.0016963582514412908,150,"(16.0, 16.0)","{'batch_size': 150, 'layers': (16.0, 16.0)}",0.8116666674613953,0.8066666722297668,0.7749999761581421,0.7850000262260437,0.794583335518837,0.015109558540711835,18
62,0.6092256903648376,0.00824485520686685,0.13998717069625854,0.0905477539478092,150,"(8.0,)","{'batch_size': 150, 'layers': (8.0,)}",0.8233333230018616,0.7816666960716248,0.7616666555404663,0.8116666674613953,0.794583335518837,0.02433489986594074,18
40,0.7189539670944214,0.0039328440058464505,0.08744150400161743,0.005604740667384264,100,"(32.0,)","{'batch_size': 100, 'layers': (32.0,)}",0.8016666769981384,0.7816666960716248,0.7950000166893005,0.800000011920929,0.7945833504199982,0.007850594047006604,17
61,0.6083138585090637,0.009865335335827492,0.08483338356018066,0.00451933037540747,150,"(16.0,)","{'batch_size': 150, 'layers': (16.0,)}",0.8066666722297668,0.7833333611488342,0.7816666960716248,0.8100000023841858,0.7954166829586029,0.012983684660184002,16
74,0.6391516327857971,0.0008959019700668621,0.08743548393249512,0.002860426756212374,150,"(8.0, 16.0)","{'batch_size': 150, 'layers': (8.0, 16.0)}",0.8149999976158142,0.7866666913032532,0.79666668176651,0.7850000262260437,0.7958333492279053,0.011931506173948449,15
64,0.6529446244239807,0.020052219525289208,0.09749478101730347,0.0037116139465274297,150,"(4.0, 8.0)","{'batch_size': 150, 'layers': (4.0, 8.0)}",0.8066666722297668,0.7716666460037231,0.8183333277702332,0.7883333563804626,0.7962500005960464,0.017770727092995996,14
29,1.9050378799438477,0.1910663738501548,0.14861834049224854,0.01226930757463084,50,"(8.0, 8.0)","{'batch_size': 50, 'layers': (8.0, 8.0)}",0.8016666769981384,0.778333306312561,0.8033333420753479,0.8033333420753479,0.7966666668653488,0.010606617358962123,12
22,1.0778667330741882,0.05657381003475379,0.09457772970199585,0.005536117916993342,50,"(8.0,)","{'batch_size': 50, 'layers': (8.0,)}",0.8233333230018616,0.7683333158493042,0.7933333516120911,0.8016666769981384,0.7966666668653488,0.01968502235969653,12
37,1.1461200714111328,0.033544499104028194,0.09950870275497437,0.010577788056748827,50,"(4.0, 8.0, 8.0)","{'batch_size': 50, 'layers': (4.0, 8.0, 8.0)}",0.8100000023841858,0.7749999761581421,0.7933333516120911,0.8100000023841858,0.7970833331346512,0.01445179665106748,11
