,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout_rate,param_optimizer,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
288,1.1353576183319092,0.09565114406815639,0.08263140916824341,0.0009501964419862656,tanh,0.1,RMSprop,"{'activation': 'tanh', 'dropout_rate': 0.1, 'optimizer': 'RMSprop'}",0.8050000071525574,0.7483333349227905,0.7733333110809326,0.79666668176651,0.7808333337306976,0.022063676464740282,36
289,0.9293982982635498,0.0036602254534956135,0.0824936032295227,0.0008792917823846337,tanh,0.1,Adagrad,"{'activation': 'tanh', 'dropout_rate': 0.1, 'optimizer': 'Adagrad'}",0.7733333110809326,0.7433333396911621,0.7716666460037231,0.746666669845581,0.7587499916553497,0.013812973872118002,252
290,0.9814185500144958,0.01885138594301353,0.0821613073348999,0.0010199888789532957,tanh,0.1,Adadelta,"{'activation': 'tanh', 'dropout_rate': 0.1, 'optimizer': 'Adadelta'}",0.6499999761581421,0.6033333539962769,0.6916666626930237,0.7099999785423279,0.6637499928474426,0.041102417328766995,478
291,1.1071364283561707,0.09253522242823879,0.08386772871017456,0.0015172894814490469,tanh,0.1,Adam,"{'activation': 'tanh', 'dropout_rate': 0.1, 'optimizer': 'Adam'}",0.7900000214576721,0.7450000047683716,0.7716666460037231,0.7766666412353516,0.7708333283662796,0.016351182598570813,95
292,0.9813559651374817,0.009233944742268628,0.0837981104850769,0.0009439416007522466,tanh,0.1,Adamax,"{'activation': 'tanh', 'dropout_rate': 0.1, 'optimizer': 'Adamax'}",0.7683333158493042,0.7450000047683716,0.7666666507720947,0.7799999713897705,0.7649999856948853,0.012638113687429993,206
293,1.266633152961731,0.023242060492261088,0.13323134183883667,0.08670096228171237,tanh,0.1,Nadam,"{'activation': 'tanh', 'dropout_rate': 0.1, 'optimizer': 'Nadam'}",0.8016666769981384,0.7649999856948853,0.7900000214576721,0.8199999928474426,0.7941666692495346,0.01994785143656977,4
294,0.9139973521232605,0.004823651759393156,0.08348166942596436,0.0010408386031032385,tanh,0.2,SGD,"{'activation': 'tanh', 'dropout_rate': 0.2, 'optimizer': 'SGD'}",0.7883333563804626,0.7383333444595337,0.7749999761581421,0.7633333206176758,0.7662499994039536,0.018385343258822347,189
295,1.073704183101654,0.006377764749111333,0.08271795511245728,0.000887996141145785,tanh,0.2,RMSprop,"{'activation': 'tanh', 'dropout_rate': 0.2, 'optimizer': 'RMSprop'}",0.7950000166893005,0.7649999856948853,0.7866666913032532,0.7916666865348816,0.7845833450555801,0.011688980600066854,18
296,0.9404485821723938,0.004252605136338851,0.08387941122055054,0.0014775219793183008,tanh,0.2,Adagrad,"{'activation': 'tanh', 'dropout_rate': 0.2, 'optimizer': 'Adagrad'}",0.7733333110809326,0.7433333396911621,0.7649999856948853,0.7483333349227905,0.7574999928474426,0.012162088000756665,266
297,1.0158255696296692,0.08809277505554065,0.08223176002502441,0.001419646347063888,tanh,0.2,Adadelta,"{'activation': 'tanh', 'dropout_rate': 0.2, 'optimizer': 'Adadelta'}",0.57833331823349,0.6600000262260437,0.6266666650772095,0.6499999761581421,0.6287499964237213,0.03152105530671537,492
298,1.0289044976234436,0.009892154477461355,0.08159726858139038,0.0010057309774637987,tanh,0.2,Adam,"{'activation': 'tanh', 'dropout_rate': 0.2, 'optimizer': 'Adam'}",0.8166666626930237,0.7683333158493042,0.7916666865348816,0.7733333110809326,0.7874999940395355,0.01894803647868692,12
